date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:18:50	218/218	---M-Z	200	added ('OK')	text/plain	date:Thu,%2027%20Dec%202018%2020:18:50%20GMT	https://www.gamespot.com/robots.txt		(from )
03:18:50	289719/289719	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Dec%202018%2020:14:05%20GMT	https://www.gamespot.com/	C:/My%20Web%20Sites/gamespot/www.gamespot.com/index.html	(from )
03:18:50	4286/4286	---M-Z	200	added ('OK')	image/x-icon	etag:%225ba17ecd-10be%22	https://www.gamespot.com/favicon.ico	C:/My%20Web%20Sites/gamespot/www.gamespot.com/favicon.ico	(from https://www.gamespot.com/)
03:18:51	3320/3320	---M--	200	added ('OK')	image/png	etag:%225c194cff-cf8%22	https://static.gamespot.com/bundles/gamespotsite/images/touch-icon-iphone-precomposed.png	C:/My%20Web%20Sites/gamespot/static.gamespot.com/bundles/gamespotsite/images/touch-icon-iphone-precomposed.png	(from https://www.gamespot.com/)
03:18:52	10679/10679	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Dec%202018%2020:18:52%20GMT	https://static.gamespot.com/bundles/gamespotsite/images/touch-icon-ipad.png	C:/My%20Web%20Sites/gamespot/static.gamespot.com/bundles/gamespotsite/images/touch-icon-ipad.png	(from https://www.gamespot.com/)
03:18:52	5671/5671	---M--	200	added ('OK')	image/png	etag:%225c194cff-1627%22	https://static.gamespot.com/bundles/gamespotsite/images/touch-icon-iphone-retina-precomposed.png	C:/My%20Web%20Sites/gamespot/static.gamespot.com/bundles/gamespotsite/images/touch-icon-iphone-retina-precomposed.png	(from https://www.gamespot.com/)
03:18:52	7018/7018	---M--	200	added ('OK')	image/png	etag:%225c194cff-1b6a%22	https://static.gamespot.com/bundles/gamespotsite/images/touch-icon-ipad-retina-precomposed.png	C:/My%20Web%20Sites/gamespot/static.gamespot.com/bundles/gamespotsite/images/touch-icon-ipad-retina-precomposed.png	(from https://www.gamespot.com/)
03:18:52	74/74	---M--	200	added ('OK')	image/png	etag:%225c194cfd-4a%22	https://static.gamespot.com/bundles/gamespotsite/images/bg-border-light.png	C:/My%20Web%20Sites/gamespot/static.gamespot.com/bundles/gamespotsite/images/bg-border-light.png	(from https://www.gamespot.com/)
03:18:53	586171/586171	---M-Z	200	added ('OK')	text/css	etag:%225c194cff-8f1bb%22	https://static.gamespot.com/bundles/gamespotsite/css/gamespot_white-045e88ce0c6033ba3d60b91b6f4adc5d.css	C:/My%20Web%20Sites/gamespot/static.gamespot.com/bundles/gamespotsite/css/gamespot_white-045e88ce0c6033ba3d60b91b6f4adc5d.css	(from https://www.gamespot.com/)
03:18:53	15324/15324	---M-Z	200	added ('OK')	application/javascript	etag:%225c194b6b-3bdc%22	https://static.gamespot.com/js/compiled/header_js.js?19fbee9856dc7fcab3a92b2fa1e670dc	C:/My%20Web%20Sites/gamespot/static.gamespot.com/js/compiled/header_js2e33.js	(from https://www.gamespot.com/)
03:18:53	82351/82351	---M-Z	200	added ('OK')	text/javascript	etag:%22901fc5-141af-57e0652ae5ff9%22	http://js-sec.indexww.com/ht/ls-gamespot.js	C:/My%20Web%20Sites/gamespot/js-sec.indexww.com/ht/ls-gamespot.js	(from https://www.gamespot.com/)
03:18:54	203700/203700	---MC-	200	added ('OK')	text/javascript	date:Thu,%2027%20Dec%202018%2020:18:53%20GMT	http://www.google.com/adsense/search/async-ads.js	C:/My%20Web%20Sites/gamespot/www.google.com/adsense/search/async-ads.js	(from https://www.gamespot.com/)
03:18:54	28449/28449	---MC-	200	added ('OK')	text/javascript	date:Thu,%2027%20Dec%202018%2020:18:54%20GMT	http://www.googletagservices.com/tag/js/gpt.js	C:/My%20Web%20Sites/gamespot/www.googletagservices.com/tag/js/gpt.js	(from https://www.gamespot.com/)
03:18:54	1149/1149	---M--	200	added ('OK')	image/png	etag:%22149b10b57529bf06e7361d25c1572b2d%22	https://static.gamespot.com/uploads/ignore_jpg_scale_tiny/1197/11970954/3473649-boty-nav-bug.png	C:/My%20Web%20Sites/gamespot/static.gamespot.com/uploads/ignore_jpg_scale_tiny/1197/11970954/3473649-boty-nav-bug.png	(from https://www.gamespot.com/)
03:18:54	990/990	---M-Z	200	added ('OK')	image/jpeg	etag:%22db177e0ec2632bcecec9d4b2a6e19eb8%22	https://static.gamespot.com/uploads/square_mini/1197/11970954/3453798-avatar.jpg	C:/My%20Web%20Sites/gamespot/static.gamespot.com/uploads/square_mini/1197/11970954/3453798-avatar.jpg	(from https://www.gamespot.com/)
03:18:54	1749/1749	---M-Z	200	added ('OK')	image/jpeg	etag:%2213b3bdbcc8737ef3dfbbd41a9038648b%22	https://static.gamespot.com/uploads/square_mini/1352/13527689/3274689-avatar.jpg	C:/My%20Web%20Sites/gamespot/static.gamespot.com/uploads/square_mini/1352/13527689/3274689-avatar.jpg	(from https://www.gamespot.com/)
